Word,SUBTLWF,LgSUBTLWF,MorphSp,POS,
a,20415.27,6.02,{^a^},minor|NN,
aah,52.71,3.43,{^aah^},NULL,
Aaron,14.65,2.87,{^aaron^},NN,0.02
aback,0.29,1.2,{^aback^},RB,
abacus,0.24,1.11,{^abacus^},NN,
abandon,8.1,2.62,{^abandon^},VB|NN,
abandoned,13.29,2.83,{^abandon^}>ed>,VB|JJ,
abandoning,1.69,1.94,{^abandon^}>ing>,VB,
abandonment,0.96,1.7,{^abandon^}>ment>,NN,
abase,0.06,0.6,{<a<^base^},VB,
abasement,NULL,NULL,{<a<^base^}>ment>,NN,
abash,NULL,NULL,{^abash^},VB,
abate,0.1,0.78,{^abate^},VB,
abated,0.08,0.7,{^abate^}>ed>,VB,
abbess,0.04,0.48,{^abbess^},NN,
abbey,3.18,2.21,{^abbey^},NN,
abbot,0.84,1.64,{^abbot^},NN,
abbreviate,0.02,0.3,{<ab<^brevi^>ate>},VB,
abide,2.71,2.14,{^abide^},VB,
abides,0.08,0.7,{^abide^}>s>,VB,
abiding,0.49,1.42,{^abide^}>ing>,JJ|VB,
Abigail,3.02,2.19,{^abigail^},NN,
abbreviated,0.31,1.23,{<ab<^brevi^>ate>}>ed>,JJ|VB,
abbreviation,0.24,1.11,{<ab<^brevi^>ate>}>ion>,NN,
abbreviations,0.2,1.04,{<ab<^brevi^>ate>}>ion>>s>,NN,
abdicate,0.18,1,{^abdicate^},VB,
abdomen,3.35,2.24,{^abdomen^},NN,
abdominal,3.41,2.24,{^abdomin^>al>},JJ,
abduct,0.71,1.57,{<ab<^duct^},VB,
abduction,3.63,2.27,{<ab<^duct^}>ion>,NN,
Abe,NULL,NULL,{^abe^},NN,
abed,0.2,1.04,{^abed^},RB,
Abel,1.33,1.84,{^abel^},NN,
Abel's,NULL,NULL,{^abel^}>'s>,encl,
aberrant,0.29,1.2,{^aberr^>ant>},JJ,
aberration,0.55,1.46,{^aberr^>ate>}>ion>,NN,
aberrations,0.16,0.95,{^aberr^>ate>}>ion>>s>,NN,
abet,0.1,0.78,{^abet^},VB,
abetted,0.16,0.95,{^abet^}>ed>,VB,
abeyance,0.04,0.48,{^abey^>ance>},NN,
abhor,0.24,1.11,{^abhor^},VB,
abhorred,0.14,0.9,{^abhor^}>ed>,VB,
abhorrent,0.18,1,{^abhor^}>ent>,JJ,
abilities,6.12,2.5,{^able^}>ity>>s>,NN,
ability,19.22,2.99,{^able^}>ity>,NN,
abject,0.39,1.32,{^abject^},JJ,
ablaze,0.41,1.34,{<a<^blaze^},JJ,
able,159.9,3.91,{^able^},JJ,
ably,0.18,1,{^able^}>y>,RB,
abnormal,2.9,2.17,<ab<{^norm^>al>},JJ,
abnormalities,0.49,1.42,<ab<{^norm^>al>}>ity>>s>,NN,
abnormality,0.51,1.43,<ab<{^norm^>al>}>ity>,NN,
abnormally,0.39,1.32,<ab<{^norm^>al>}>ly>,RB,
aboard,26.63,3.13,{^aboard^},minor|RB,
abode,0.65,1.53,{^abode^},NN,
abolish,0.47,1.4,{^abolish^},VB,
abolished,0.39,1.32,{^abolish^}>ed>,VB,
abolition,0.2,1.04,{^abolish^}>ion>,NN,
abolitionist,0.22,1.08,{^abolish^}>ion>>ist>,NN|JJ,
abolitionists,0.25,1.15,{^abolish^}>ion>>ist>>s>,NN,
abominate,0.06,0.6,{^abomin^>ate>},VB,
aborigines,0.18,1,{<ab<^origine^}>s>,NN,
abort,4.61,2.37,{^abort^},VB,
abominable,0.63,1.52,{^abomin^>able>},JJ,
aboriginal,0.18,1,{<ab<^origin^>al>},JJ|NN,
aborigine,0.08,0.7,{<ab<^origine^},NN,
abortion,7.24,2.57,{^abort^}>ion>,NN,
abortionist,0.08,0.7,{^abort^}>ion>>ist>,NN,
abortions,0.69,1.56,{^abort^}>ion>>s>,NN,
abortive,0.02,0.3,{^abort^}>ive>,JJ,
abound,0.35,1.28,{^abound^},VB,
abounded,0.06,0.6,{^abound^}>ed>,VB,
abounding,0.08,0.7,{^abound^}>ing>,VB,
abounds,0.2,1.04,{^abound^}>s>,VB,
about,3631.49,5.27,{^about^},minor|RB|JJ,
above,48.88,3.4,{^above^},minor|JJ|NN,
aboveground,0.14,0.9,{^above^}{^ground^},RB|JJ,
abracadabra,1.04,1.73,{^abracadabra^},minor,
Abraham,5.18,2.42,{^abraham^},NN,
abrasion,0.35,1.28,{^abrade^}>ion>,NN,
abrasive,0.45,1.38,{^abrade^}>ive>,JJ,
abreast,0.51,1.43,{^abreast^},RB,
abridged,0.18,1,{^abridge^}>ed>,VB,
abridgment,NULL,NULL,{^abridge^}>ment>,NN,
abroad,4.9,2.4,{^abroad^},RB|NN,
abrogate,0.02,0.3,{<ab<^rog^>ate>},VB,
abrogated,0.04,0.48,{<ab<^rog^>ate>}>ed>,VB,
abrupt,1.14,1.77,{<ab<^rupt^},JJ,
abruptly,0.88,1.66,{<ab<^rupt^}>ly>,RB,
abruptness,0.08,0.7,{<ab<^rupt^}>ness>,NN,
abscess,0.49,1.42,{^abscess^},NN,
abscesses,0.14,0.9,{^abscess^}>s>,NN,
abscissa,NULL,NULL,{^abscissa^},NN,
abscond,0.1,0.78,{^abscond^},VB,
absence,6.31,2.51,{^absence^},NN,
absences,0.27,1.18,{^absence^}>s>,NN,
absent,2.57,2.12,{^absent^},JJ,
absented,NULL,NULL,{^absent^}>ed>,VB,
absentee,0.35,1.28,{^absent^}>ee>,JJ,
absenteeism,0.1,0.78,{^absent^}>ee>>ism>,NN,
absently,NULL,NULL,{^absent^}>ly>,RB,
absinth,NULL,NULL,{^absinth^},NN,
absolute,11.31,2.76,{^absolute^},JJ|NN,
absoluteness,0.02,0.3,{^absolute^}>ness>,NN,
absentmindedly,NULL,NULL,{^absent^}{^mind^}>ed>>ly>,RB,
absolutely,113.12,3.76,{^absolute^}>ly>,RB,
absolutes,0.41,1.34,{^absolute^}>s>,NN,
absolution,0.94,1.69,{^absolute^}>ion>,NN,
absolutism,NULL,NULL,{^absolute^}>ism>,NN,
absolve,0.57,1.48,{<ab<^solve^},VB,
absorb,1.98,2.01,{<ab<^sorb^},VB,
absorbed,1.53,1.9,{<ab<^sorb^}>ed>,VB|JJ,
absorbency,NULL,NULL,{<ab<^sorb^}>ency>,NN,
absorbent,0.16,0.95,{<ab<^sorb^}>ent>,JJ,
absorber,0.06,0.6,{<ab<^sorb^}>er>,NN,
absorbing,0.45,1.38,{<ab<^sorb^}>ing>,VB|JJ,
absorbs,0.49,1.42,{<ab<^sorb^}>s>,VB,
absorption,0.35,1.28,{<ab<^sorb^}>ion>,NN,
absorptions,0.02,0.3,{<ab<^sorb^}>ion>>s>,NN,
absorptive,NULL,NULL,{<ab<^sorb^}>ive>,JJ,
abstain,0.51,1.43,{<abs<^tain^},VB,
abstaining,0.16,0.95,{<abs<^tain^}>ing>,VB|NN,
abstention,0.12,0.85,{<abs<^ten^>tion>},NN,
abstinence,0.88,1.66,{<abs<^tin^>ence>},NN,
abstinent,0.06,0.6,{<abs<^tin^>ent>},JJ,
abstract,2.18,2.05,{^abstract^},JJ|NN|VB,
abstracted,0.06,0.6,{^abstract^}>ed>,JJ|VB,
abstractedness,NULL,NULL,{^abstract^}>ed>>ness>,NN,
abstracting,0.02,0.3,{^abstract^}>ing>,VB|NN,
abstraction,0.29,1.2,{^abstract^}>ion>,NN,
abstractionism,NULL,NULL,{^abstract^}>ion>>ism>,NN,
abstractionists,NULL,NULL,{^abstract^}>ion>>ist>>s>,NN,
abstractions,0.1,0.78,{^abstract^}>ion>>s>,NN,
abstractive,NULL,NULL,{^abstract^}>ive>,JJ,
abstractly,0.04,0.48,{^abstract^}>ly>,RB,
abstractors,NULL,NULL,{^abstract^}>or>>s>,NN,
abstracts,0.14,0.9,{^abstract^}>s>,NN|VB,
abstruse,0.06,0.6,{^abstruse^},JJ,
absurd,9.71,2.7,{^absurd^},JJ|NN,
absurdities,0.12,0.85,{^absurd^}>ity>>s>,NN,
absurdity,0.63,1.52,{^absurd^}>ity>,NN,
absurdly,0.29,1.2,{^absurd^}>ly>,RB,
abundance,0.88,1.66,{^abund^>ance>},NN,
abundant,0.57,1.48,{^abund^>ant>},JJ,
abuse,10.25,2.72,{^abuse^},VB,
abused,4.53,2.37,{^abuse^}>ed>,VB|JJ,
abuses,0.49,1.42,{^abuse^}>s>,VB,
abusive,1.63,1.92,{^abuse^}>ive>,JJ,
abut,0.12,0.85,{^abut^},VB,
abutment,0.12,0.85,{^abut^}>ment>,NN,
abutments,0.02,0.3,{^abut^}>ment>>s>,NN,
abysmal,0.41,1.34,{^abysm^}>al>,JJ,
abyss,1.76,1.96,{^abyss^},NN,
acacia,0.16,0.95,{^acacia^},NN,
academic,4.67,2.38,{^academ^>ic>},JJ|NN,
academically,0.22,1.08,{^academ^>ic>}>ally>,RB,
academicianship,NULL,NULL,{^academ^>ic>}>ian>>ship>,NN,
academics,0.69,1.56,{^academ^>ic>}>s>,NN,
academies,0.14,0.9,{^academ^>y>}>s>,NN,
academy,12.41,2.8,{^academ^>y>},NN,
Acadia,0.06,0.6,{^acadia^},NN,
Acapulco,1.61,1.92,{^acapulco^},NN,
accede,0.14,0.9,{<ac<^cede^},VB,
acceded,0.02,0.3,{<ac<^cede^}>ed>,VB,
accent,12.18,2.79,{^accent^},NN,
accelerando,NULL,NULL,{^accelerando^},JJ|RB,
accelerate,1.27,1.82,{<ac<^celer^>ate>},VB,
accelerated,0.96,1.7,{<ac<^celer^>ate>}>ed>,VB,
accelerating,0.88,1.66,{<ac<^celer^>ate>}>ing>,VB|NN,
acceleration,0.86,1.65,{<ac<^celer^>ate>}>ion>,NN,
accelerations,NULL,NULL,{<ac<^celer^>ate>}>ion>>s>,NN,
accelerator,1.35,1.85,{<ac<^celer^>ate>}>or>,NN,
accelerators,0.08,0.7,{<ac<^celer^>ate>}>or>>s>,NN,
accelerometer,NULL,NULL,{<ac<^celer^>ometer>},NN,
accelerometers,NULL,NULL,{<ac<^celer^>ometer>}>s>,NN,
accented,0.02,0.3,{^accent^}>ed>,VB|JJ,
accenting,NULL,NULL,{^accent^}>ing>,VB|NN,
accents,1.14,1.77,{^accent^}>s>,NN,
accentual,NULL,NULL,{^accent^}>ual>,JJ,
accentuate,0.35,1.28,{^accent^}>uate>,VB,
accentuated,0.04,0.48,{^accent^}>uate>>ed>,VB,
accentuates,0.08,0.7,{^accent^}>uate>>s>,VB,
accept,52.78,3.43,{<ac<^cept^},VB,
accolade,0.02,0.3,{^accolade^},NN,
acceptable,5.27,2.43,{<ac<^cept^}>able>,JJ,
acceptance,3.16,2.21,{<ac<^cept^}>ance>,NN,
accepted,15.71,2.9,{<ac<^cept^}>ed>,VB|JJ,
accepting,4.04,2.32,{<ac<^cept^}>ing>,VB,
accepts,2.08,2.03,{<ac<^cept^}>s>,VB,
access,31.67,3.21,{<ac<^cess^},NN|VB,
accesses,0.04,0.48,{<ac<^cess^}>s>,NN|VB,
accessible,1.1,1.76,{<ac<^cess^}>ible>,JJ,
accessions,NULL,NULL,{<ac<^cess^}>ion>>s>,NN,
accessories,1.49,1.89,{^accessory^}>s>,NN,
accessors,NULL,NULL,{<ac<^cess^}>or>>s>,NN,
accessory,2.88,2.17,{^accessory^},NN,
accident,81.29,3.62,{^accident^},NN,
accidental,3,2.19,{^accident^}>al>,JJ,
accidents,6.67,2.53,{^accident^}>s>,NN,
acclaim,0.43,1.36,{<ac<^claim^},NN|VB,
accidentally,8.8,2.65,{^accident^}>al>>ly>,RB,
acclaimed,0.39,1.32,{<ac<^claim^}>ed>,VB|JJ,
acclaims,0.04,0.48,{<ac<^claim^}>s>,VB,
acclimate,0.16,0.95,{<ac<^climate^},VB,
acclamation,0.02,0.3,{<ac<^claim^}>ation>,NN,
acclimatized,0.04,0.48,<a<{^climate^}>ise>>ed>,VB|JJ,
accolades,0.18,1,{^accolade^}>s>,NN,
accommodate,2.14,2.04,{<ac<^commod^>ate>},VB,
accommodated,0.1,0.78,{<ac<^commod^>ate>}>ed>,VB,
accommodates,0.06,0.6,{<ac<^commod^>ate>}>s>,VB,
accommodating,0.71,1.57,{<ac<^commod^>ate>}>ing>,VB|JJ,
accommodation,0.94,1.69,{<ac<^commod^>ate>}>ion>,NN,
accommodations,1.67,1.93,{<ac<^commod^>ate>}>ion>>s>,NN,
accompanied,2.06,2.03,{<ac<^compan^>y>}>ed>,VB,
accompanies,0.25,1.15,{<ac<^compan^>y>}>s>,VB,
accompaniment,0.29,1.2,{<ac<^compan^>y>}>ment>,NN,
accompaniments,NULL,NULL,{<ac<^compan^>y>}>ment>>s>,NN,
accompanist,0.2,1.04,{<ac<^compan^>ist>},NN,
accompanists,0.02,0.3,{<ac<^compan^>ist>}>s>,NN,
accompany,4.75,2.39,{<ac<^compan^>y>},VB,
acorns,0.37,1.3,{^acorn^}>s>,NN,
acoustic,0.96,1.7,{^acoust^>ic>},JJ,
acoustical,0.12,0.85,{^acoust^>ic>}>al>,JJ,
acoustics,0.43,1.36,{^acoust^>ics>},NN,
accompanying,0.92,1.68,{<ac<^compan^>y>}>ing>,VB,
accomplice,4.24,2.34,{<ac<^compl^>ice>},NN,
accomplices,1.14,1.77,{<ac<^compl^>ice>}>s>,NN,
accomplish,5.84,2.48,{<ac<^compl^>ish>},VB,
accomplished,7.53,2.59,{<ac<^compl^>ish>}>ed>,VB|JJ,
accomplishes,0.14,0.9,{<ac<^compl^>ish>}>s>,VB,
accomplishing,0.51,1.43,{<ac<^compl^>ish>}>ing>,VB,
accomplishment,1.88,1.99,{<ac<^compl^>ish>}>ment>,NN,
accomplishments,1.59,1.91,{<ac<^compl^>ish>}>ment>>s>,NN,
accord,1.63,1.92,{^accord^},NN|VB,
accordance,1.59,1.91,{^accord^}>ance>,NN,
accorded,0.14,0.9,{^accord^}>ed>,VB,
according,41.86,3.33,{^accord^}>ing>,VB|NN,
accordingly,1.82,1.97,{^accord^}>ing>>ly>,RB,
accordion,1.31,1.83,{^accord^>ion>},NN,
accords,0.18,1,{^accord^}>s>,NN|VB,
accost,0.06,0.6,{^accost^},VB,
accosted,0.67,1.54,{^accost^}>ed>,VB,
accosting,0.08,0.7,{^accost^}>ing>,VB|NN,
account,44.71,3.36,{<ac<^count^},NN|VB,
accountable,1.41,1.86,{<ac<^count^}>able>,JJ,
accountant,6.18,2.5,{<ac<^count^}>ant>,NN,
accountability,0.47,1.4,{<ac<^count^}>able>>ity>,NN,
accountants,1.08,1.75,{<ac<^count^}>ant>>s>,NN,
accounted,3.02,2.19,{<ac<^count^}>ed>,VB,
accounting,4.51,2.36,{<ac<^count^}>ing>,NN|VB,
accounts,10.47,2.73,{<ac<^count^}>s>,NN|VB,
accredit,NULL,NULL,<a<{^credit^},VB,
accreditation,0.18,1,<a<{^credit^}>a>>tion>,NN,
accredited,0.31,1.23,<a<{^credit^}>ed>,VB,
accrue,0.08,0.7,{^accrue^},VB,
accrued,0.25,1.15,{^accrue^}>ed>,VB,
accrues,0.02,0.3,{^accrue^}>s>,VB,
accruing,0.04,0.48,{^accrue^}>ing>,VB|NN,
acculturated,NULL,NULL,{<ac<^cultur^>ate>}>ed>,VB|JJ,
acculturation,NULL,NULL,{<ac<^cultur^>ate>}>ion>,NN,
accumulate,0.57,1.48,{<ac<^cumul^>ate>},VB,
accumulates,0.22,1.08,{<ac<^cumul^>ate>}>s>,VB,
ached,0.31,1.23,{^ache^}>ed>,VB,
aches,1.51,1.89,{^ache^}>s>,NN|VB,
accumulated,0.76,1.6,{<ac<^cumul^>ate>}>ed>,VB,
accumulating,0.35,1.28,{<ac<^cumul^>ate>}>ing>,VB,
achieve,7.33,2.57,{^achieve^},VB,
achieved,4.29,2.34,{^achieve^}>ed>,VB|JJ,
accumulation,0.25,1.15,{<ac<^cumul^>ate>}>ion>,NN,
accuracy,1.49,1.89,{^accur^>acy>},NN,
accurate,7.84,2.6,{^accur^>ate>},JJ,
accurately,1.14,1.77,{^accur^>ate>}>ly>,RB,
accurst,NULL,NULL,{<ac<^curs^>t>},JJ,
accusation,2.8,2.16,{^accuse^}>ation>,NN,
accusations,3,2.19,{^accuse^}>ation>>s>,NN,
accusative,NULL,NULL,{^accuse^}>ative>,JJ|NN,
accuse,5.69,2.46,{^accuse^},VB,
accused,13.06,2.82,{^accuse^}>ed>,VB|NN|JJ,
accuses,0.61,1.51,{^accuse^}>s>,VB,
accusing,4.94,2.4,{^accuse^}>ing>,VB|JJ,
accusingly,NULL,NULL,{^accuse^}>ing>>ly>,RB,
accustom,0.12,0.85,{<ac<^custom^},VB,
acolyte,0.14,0.9,{^acolyte^},NN,
acorn,0.73,1.58,{^acorn^},NN,
accustomed,2.92,2.18,{<ac<^custom^}>ed>,VB|JJ,
ace,14.73,2.88,{^ace^},NN,
acerbic,0.08,0.7,{^acerb^>ic>},JJ,
aces,3.96,2.31,{^ace^}>s>,NN,
acetate,0.12,0.85,{^acet^>ate>},NN,
acetone,0.16,0.95,{^acet^>one>},NN,
acetylene,0.45,1.38,{^acet^>ylene>},NN,
ache,2.49,2.11,{^ache^},VB|NN,
achievement,3.49,2.25,{^achieve^}>ment>,NN,
achievements,1.08,1.75,{^achieve^}>ment>>s>,NN,
achieves,0.31,1.23,{^achieve^}>s>,VB,
achieving,0.73,1.58,{^achieve^}>ing>,VB|NN,
Achilles,2.25,2.06,{^achilles^},NN,
aching,2.06,2.03,{^ache^}>ing>,VB,
acid,9.96,2.71,{^acid^},NN|JJ,
acidic,0.22,1.08,{^acid^}>ic>,JJ,
acidity,0.2,1.04,{^acid^}>ity>,NN,
acids,0.82,1.63,{^acid^}>s>,NN,
acknowledges,0.25,1.15,{<ac<^know^>ledge>}>s>,VB,
acme,1.25,1.81,{^acme^},NN,
acne,0.9,1.67,{^acne^},NN,
acknowledge,6.14,2.5,{<ac<^know^>ledge>},VB,
acknowledged,1.96,2,{<ac<^know^>ledge>}>ed>,VB|JJ,
acknowledgement,0.41,1.34,{<ac<^know^>ledge>}>ment>,NN,
acknowledging,0.71,1.57,{<ac<^know^>ledge>}>ing>,VB,
acknowledgment,0.51,1.43,{<ac<^know^>ledge>}>ment>,NN,
acknowledgments,0.02,0.3,{<ac<^know^>ledge>}>ment>>s>,NN,
acoustically,0.02,0.3,{^acoust^>ic>}>al>>ly>,RB,
acquaint,0.39,1.32,{^acquaint^},VB,
acquaintance,5.35,2.44,{^acquaint^}>ance>,NN,
acquainted,4.53,2.37,{^acquaint^}>ed>,VB,
acquiesce,0.06,0.6,{^acqui^>esce>},VB,
acquiesced,0.1,0.78,{^acqui^>esce>}>ed>,VB,
acquiescence,0.1,0.78,{^acqui^>esce>}>ence>,NN,
acquiescent,0.02,0.3,{^acqui^>esce>}>ent>,JJ,
acquire,2.65,2.13,{<ac<^quire^},VB,
acquired,4.47,2.36,{<ac<^quire^}>ed>,VB,
acquires,0.16,0.95,{<ac<^quire^}>s>,VB,
acquiring,0.84,1.64,{<ac<^quire^}>ing>,VB,
acrylic,0.45,1.38,{^acrylic^},NN|JJ,
act,109.12,3.75,{^act^},NN|VB,
acquisition,1.45,1.88,{<ac<^quisit^>ion>},NN,
acquisitions,0.65,1.53,{<ac<^quisit^>ion>}>s>,NN,
acquisitive,0.06,0.6,{<ac<^quisit^>ive>},JJ,
acquit,0.47,1.4,{<ac<^quit^},VB,
acquittal,0.73,1.58,{<ac<^quit^}>al>,NN,
acquitted,1.53,1.9,{<ac<^quit^}>ed>,VB,
acre,1.82,1.97,{^acre^},NN,
acquisitiveness,0.02,0.3,{<ac<^quisit^>ive>}>ness>,NN,
acreage,0.43,1.36,{^acre^}>age>,NN,
acres,4.59,2.37,{^acre^}>s>,NN,
acrid,0.04,0.48,{^acrid^},JJ,
acrimonious,0.14,0.9,{^acrimony^}>ous>,JJ,
acrimony,0.22,1.08,{^acrimony^},NN,
acrobat,0.59,1.49,{^acrobat^},NN,
acrobatic,0.24,1.11,{^acrobat^}>ic>,JJ,
acrobatics,0.22,1.08,{^acrobat^}>ics>,NN,
acrobats,0.37,1.3,{^acrobat^}>s>,NN,
acronym,0.29,1.2,{<acr<^onym^},NN,
Acropolis,0.12,0.85,{^acropolis^},NN,
across,94.14,3.68,{^across^},minor,
acted,10.75,2.74,{^act^}>ed>,VB,
acting,52.45,3.43,{^act^}>ing>,VB|NN,
action,61.08,3.49,{^act^}>ion>,NN,
actions,12.16,2.79,{^act^}>ion>>s>,NN,
activate,4.67,2.38,{^act^}>ive>>ate>,VB,
activated,4.31,2.34,{^act^}>ive>>ate>>ed>,VB,
activating,0.86,1.65,{^act^}>ive>>ate>>ing>,VB,
activation,0.84,1.64,{^act^}>ive>>ate>>ion>,NN,
active,11.45,2.77,{^act^}>ive>,JJ,
actively,0.82,1.63,{^act^}>ive>>ly>,RB,
activism,0.18,1,{^act^}>ive>>ism>,NN,
activist,0.98,1.71,{^act^}>ive>>ist>,NN,
activities,8.61,2.64,{^act^}>ive>>ity>>s>,NN,
activity,12.88,2.82,{^act^}>ive>>ity>,NN,
actor,26.33,3.13,{^act^}>or>,NN,
actors,12.63,2.81,{^act^}>or>>s>,NN,
actor's,NULL,NULL,{^act^}>or>>'s>,NULL,
actress,16.02,2.91,{^act^}>ress>,NN,
actresses,2.25,2.06,{^act^}>ress>>s>,NN,
acts,12.47,2.8,{^act^}>s>,NN|VB,
actual,17.33,2.95,{^act^>ual>},JJ|NN,
actualities,0.02,0.3,{^act^>ual>}>ity>>s>,NN,
actuality,0.47,1.4,{^act^>ual>}>ity>,NN,
actually,322.33,4.22,{^act^>ual>}>y>,RB,
actuary,0.14,0.9,{^act^>uary>},NN,
acuity,0.27,1.18,{^acuity^},NN,
acupuncture,0.73,1.58,{<acu<^punct^>ure>},NN,
acute,2.94,2.18,{^acute^},JJ|NN,
acutely,0.27,1.18,{^acute^}>ly>,RB,
acuteness,0.02,0.3,{^acute^}>ness>,RB,
ad,13.61,2.84,{^ad^},NN|minor,
Ada,NULL,NULL,{^ada^},NN,
adage,0.63,1.52,{^adage^},NN,
Adam,37.06,3.28,{^adam^},NN|RB,
adamant,0.98,1.71,{^adamant^},JJ,
adamantly,0.04,0.48,{^adamant^}>ly>,RB,
zoologist,0.24,1.11,{^zoo^>logy>>ist>},NN,
zoology,0.33,1.26,{^zoo^>logy>},NN,
zoom,3.55,2.26,{^zoom^},VB|NN,
zooming,0.63,1.52,{^zoom^}>ing>,VB,
zooms,0.06,0.6,{^zoom^}>s>,VB,
zucchini,0.96,1.7,{^zucchini^},NN,
Zurich,2.43,2.1,{^zurich^},NN,
won,759.39,4.59,{^won^},VB,
wonder,116.98,3.78,{^wonder^},NN|VB,
wondered,14.9,2.88,{^wonder^}>ed>,VB,
wonderful,164,3.92,{^wonder^}>ful>,JJ,
wonderfully,2.24,2.06,{^wonder^}>ful>>ly>,RB,
wonderfulness,0.06,0.6,{^wonder^}>ful>>ness>,NN,
wondering,63.35,3.51,{^wonder^}>ing>,VB|NN,
wonderingly,NULL,NULL,{^wonder^}>ing>>ly>,RB,
wonderland,1.82,1.97,{^wonder^}{^land^},NN,
wonders,5.82,2.47,{^wonder^}>s>,NN|VB,
wondrous,1.63,1.92,{^wondr^>ous>},JJ,
